artist_id,artist_name,total_followers,genres,popularity
2UeuiDT17tm6ljs9D4bSMX,Agsunta,687916,"['opm', 'pinoy rock']",53
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",10921306,"['hip hop', 'rap']",88
24CgJHK6T7C5OmUbiLLMjJ,Luh Kel,1043972,"['pop r&b', 'st louis rap']",60
0C8kbAJOGo7CHx8jDTyTfR,Mena Massoud,18155,"['hollywood', 'show tunes']",50
2Zi3RrdQqk63Xj0914STkS,Naomi Scott,339317,"['hollywood', 'vapor pop']",62
5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken,105522,"['broadway', 'hollywood', 'movie tunes', 'orchestral soundtrack', 'show tunes']",61
50co4Is1HCEo8bhOyUWKpn,Young Thug,8144756,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",86
7cVZApDoQZpS447nHTsNqu,LeeHi,1481501,"['k-pop', 'pop']",68
41qil2VaGbD194gaEcmmyx,Will Smith,874369,"['dance pop', 'hip hop', 'pop rap']",67
7zYj9S9SdIunYCfSm7vzAR,JEON SOMI,1837655,"['k-pop', 'pop']",62
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,2029897,"['canadian hip hop', 'pop']",70
2Xr7M6vawpp6zwKOMU7iBU,Reneé Dominique,110780,['pinoy indie'],47
1dpv0XBdgUa5z4vzn7ahIz,Donnalyn,296353,['opm'],40
14scxEoUN7Dcx1m4EQ7oHe,Ashley O,59560,[],44
7oEWmZ9dKlAVxTgmjUbYr4,J Boog,274090,"['jawaiian', 'kaneka', 'pacific islands pop']",59
3yzRiNMZdTsSUgplcyYZ4i,Blanco Brown,140862,"['black americana', 'country rap']",59
2OYCiru0FZMaAXWn6eL7MA,VVS Collective,29632,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']",37
0YrWkiT8pKvEu71t5Yllj7,Arvey,42462,['pinoy hip hop'],40
71hhKLR9oCOsHLdRIoQ5OU,King Badger,161609,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']",47
0HS00NN7MAfF59aJnfcxSO,Stephanie Poetri,542476,[],57
6USMTwO0MNDnKte5a5h0xx,Y2K,288820,['pop rap'],63
1d8sE3eKAsuUHShVmIwK6d,Psychedelic Boyz,49679,"['pinoy alternative rap', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",31
4qIVPF0s71ZYW3qzhu5GkF,Kina,767872,['sad lo-fi'],69
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,5865122,"['melodic rap', 'pluggnb', 'rap', 'trap']",78
117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1578563,"['pinoy hip hop', 'tagalog rap']",64
2NjfBq1NflQcKSeiDooVjY,Tones And I,3008736,"['australian pop', 'dance pop', 'pop']",72
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,7605949,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']",80
1juIpte4oHJ5ngVLPTUPuJ,Justin Vasquez,208643,"['opm', 'pinoy r&b']",45
1vcXQE9gZOF9PCAtdtT51L,Geo Ong,444290,"['pinoy alternative rap', 'pinoy hip hop', 'tagalog rap']",42
6C4irZ60X8G7UimMRQiCcg,X1,351064,['k-pop'],41
3g7vYcdDXnqnDKYFwqXBJP,SB19,626946,"['opm', 'p-pop', 'pinoy idol pop']",59
28B54RKpJrEmDoGSTjsfY6,Magnus Haven,453014,"['opm', 'p-pop']",52
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,2899471,"['contemporary country', 'country', 'country road', 'pop']",73
5BHFSMEjfLVx1JwRWjAOsE,SuperM,1994868,['k-pop'],56
6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,254512,['opm'],43
4ofCBoyEiGSePFAG500xev,Regard,210001,"['covertronica', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",71
3lFMRWaEWZlfXdBig97kks,Nik Makino,541931,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']",56
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,710208,"['pop', 'pop rap', 'rhode island rap', 'social media pop']",68
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,7539529,"['emo', 'pop punk']",78
4jpsw9CQS439N0B7SecMgf,Ant Saunders,85214,"['chill r&b', 'pop']",51
66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,422665,"['alt z', 'canadian contemporary r&b', 'pop']",68
7xX15v6ahAkcT14kHfB9wB,True Damage,111679,['k-rap'],48
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,416798,"['hollywood', 'show tunes']",70
7vwlQ7XElRyPMJQGUXBz4O,Tatak Pinoy All-Stars,10420,[],31
1SrWbIDP84JcSDr0oTBAQw,Matthaios,977801,"['opm', 'pinoy hip hop', 'tagalog rap']",54
7KkqUt65v6LMtR369OQ6FB,Jonathan Groff,104605,"['hollywood', 'show tunes']",64
2kHxkdiKCSnHMkhIgFBZaI,Kristen Bell,81297,"['hollywood', 'movie tunes']",66
4dSQICBjdUIp5iK6RRU2bY,Josh Gad,29154,"['hollywood', 'movie tunes', 'show tunes']",62
3MyB0MyKec3Jq0AH2llk7v,Evan Rachel Wood,24640,['hollywood'],59
70kkdajctXSbqSMJbQO424,Kacey Musgraves,1211691,"['country dawn', 'pop', 'texas country']",70
2SrSdSvpminqmStGELCSNd,Stormzy,2731170,"['grime', 'uk hip hop']",74
7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,751828,"['melodic rap', 'pop', 'pop rap']",68
4sEykiNSzZbkFkNXTb1bVd,Hotdog,56917,"['classic opm', 'manila sound']",43
1vVHevk2PD45epYnDi9CCc,Jack Stauber,1530260,['pittsburgh indie'],63
51Blml2LZPmy7TTiAg47vQ,U2,10937632,"['irish rock', 'permanent wave', 'rock']",80
6gbGGM0E8Q1hE511psqxL0,Ray J,715779,"['pop rap', 'r&b', 'urban contemporary']",55
391oLRVmoTkumiN79HkTWu,Darlene Love,50316,['adult standards'],46
0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,6580807,"['k-pop', 'k-pop girl group']",67
790FomKkXshlbRYZFtlgla,KAROL G,33925351,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",93
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,9167888,"['melodic rap', 'rap', 'trap']",81
4r63FhuTkUYltbVAg5TQnk,DaBaby,10689437,"['north carolina hip hop', 'rap', 'trap']",82
4Gso3d4CscCijv0lmajZWs,Don Toliver,2750415,"['rap', 'trap']",85
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,24998171,"['dance pop', 'pop']",87
4vxaQs6vK54nK89J1VtLex,PUBLIC,200689,['indie rockism'],61
4LLpKhyESsyAXpc4laK94U,Mac Miller,8793978,"['hip hop', 'pittsburgh rap', 'rap']",84
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,2093056,"['boy band', 'hip hop', 'rap']",69
2kxP07DLgs4xlWz8YHlvfh,NIKI,2441209,"['indonesian r&b', 'pop']",74
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,6681412,"['disco', 'mellow gold', 'soft rock']",78
